Plot Title: DL1
#,"Date Time, GMT-05:00","Pressure, in Hg (LGR S/N: 20098500, SEN S/N: 10751992)","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","MRT, °C (LGR S/N: 20098500, SEN S/N: 20496099, LBL: MRT schwarz)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Gust Speed, mph (LGR S/N: 20178500, SEN S/N: 23706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","DewPoint, °C (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
1,01/01/19 12:00:00 AM,28.79175,0.333333333,68.16666667,0.6,0.134444444,1.996666667,5.848333333,112.85,-4.833333333,1
2,01/01/19 01:00:00 AM,28.8011,0.093055556,70.08333333,0.6,-0.11537037,1.5,4.853333333,124.6,-4.722222222,1
3,01/01/19 02:00:00 AM,28.81878333,0.07,71.53333333,0.6,-0.106203704,1.746666667,6.096666667,89.61666667,-4.462962963,1
4,01/01/19 03:00:00 AM,28.8242,-0.069351852,73.81666667,0.6,-0.259722222,1.623333333,4.728333333,62.86666667,-4.185185185,0.8
5,01/01/19 04:00:00 AM,28.83211667,-0.297314815,75.93333333,0.6,-0.451111111,1.373333333,3.736666667,128.5833333,-4.018518519,1
6,01/01/19 05:00:00 AM,28.8395,-0.619537037,79.46666667,0.6,-0.793333333,1.5,4.111666667,77.9,-3.712962963,0.8
7,01/01/19 06:00:00 AM,28.8454,-0.418333333,76.91666667,0.6,-0.624259259,1.5,4.848333333,143.1333333,-3.962962963,1
8,01/01/19 07:00:00 AM,28.85226667,-0.427685185,74.2,0.816666667,-0.563518519,1.87,5.356666667,115.45,-4.425925926,1
9,01/01/19 08:00:00 AM,28.87391667,-0.381018519,75.03333333,4.6,-0.507222222,1.5,4.975,83.3,-4.259259259,1
10,01/01/19 09:00:00 AM,28.90541667,-0.306296296,74.93333333,15.21666667,-0.334444444,1.5,4.475,63.35,-4.231481481,1
11,01/01/19 10:00:00 AM,28.91673333,0.12037037,73.8,61.88333333,0.474907407,1.87,5.475,82.36666667,-4,1
12,01/01/19 11:00:00 AM,28.90838333,0.687222222,70.18333333,80.2,1.307222222,2.366666667,7.096666667,110.2666667,-4.092592593,1
13,01/01/19 12:00:00 PM,28.90246667,0.668981481,70.43333333,75.2,1.357037037,2.24,7.346666667,92.45,-4.083333333,1
14,01/01/19 01:00:00 PM,28.90493333,0.2225,75.55,33.75,0.470833333,2.116666667,6.096666667,124.6166667,-3.574074074,1
15,01/01/19 02:00:00 PM,28.9207,0.028425926,79.6,13.73333333,-0.09712963,1.623333333,5.1,87.28333333,-3.074074074,1
16,01/01/19 03:00:00 PM,28.94333333,0.185740741,76.5,6.466666667,0.083703704,1.993333333,5.473333333,100.2,-3.481481481,1
17,01/01/19 04:00:00 PM,28.9763,0.120925926,72.73333333,1.033333333,-0.008888889,2.366666667,7.97,115.2166667,-4.222222222,1
18,01/01/19 05:00:00 PM,28.996,0.060462963,71.48333333,0.6,-0.138611111,1.746666667,5.101666667,101.15,-4.481481481,1
19,01/01/19 06:00:00 PM,29.0191,-0.101944444,69.58333333,0.6,-0.339259259,1.373333333,3.983333333,60.98333333,-5.018518519,1
20,01/01/19 07:00:00 PM,29.0186,-0.986759259,69.71666667,0.6,-1.63212963,1.116666667,3.363333333,220.8,-5.824074074,1
21,01/01/19 08:00:00 PM,29.027,-1.427314815,69.78333333,0.6,-1.924166667,2.62,4.72,180.9,-6.212962963,1
22,01/01/19 09:00:00 PM,29.027,-1.818981481,69.81666667,0.6,-2.339166667,2.37,3.981666667,175.5,-6.601851852,1
23,01/01/19 10:00:00 PM,29.02058333,-2.044166667,70.88333333,0.6,-2.512962963,2.746666667,4.48,167.0333333,-6.638888889,1
24,01/01/19 11:00:00 PM,29.01663333,-1.962407407,71.21666667,0.6,-2.401666667,2.87,5.603333333,166.3333333,-6.481481481,1
25,01/02/19 12:00:00 AM,29.01468333,-1.403611111,71.23333333,0.6,-1.943703704,3.616666667,7.1,172.45,-5.953703704,1
26,01/02/19 01:00:00 AM,29.0078,-0.765462963,70.86666667,0.6,-1.24712963,4.355,8.216666667,175.2833333,-5.37962963,1
27,01/02/19 02:00:00 AM,29.0181,-0.606018519,72.55,0.6,-0.958611111,4.851666667,8.34,174.3333333,-4.953703704,1
28,01/02/19 03:00:00 AM,29.01958333,-0.62,75.1,0.6,-1.066851852,3.236666667,6.346666667,164.9333333,-4.481481481,1
29,01/02/19 04:00:00 AM,29.01908333,-0.475740741,75.11666667,0.6,-0.916203704,4.978333333,8.216666667,166.5666667,-4.351851852,1
30,01/02/19 05:00:00 AM,29.03191667,-0.124907407,74.9,0.6,-0.376666667,3.236666667,6.475,166.5833333,-4.018518519,1
31,01/02/19 06:00:00 AM,29.03636667,0.268518519,74.55,0.6,-0.02287037,5.85,9.966666667,169.4,-3.722222222,1
32,01/02/19 07:00:00 AM,29.025,0.79712963,73.96666667,1.45,0.50787037,6.72,10.46333333,172.9333333,-3.324074074,1
33,01/02/19 08:00:00 AM,29.0245,1.253055556,72.86666667,24.36666667,1.116296296,8.466666667,13.07333333,174.35,-3.092592593,1
