Plot Title: Parking Lot_PSB 2020,,,,,,,,,,
#,"Date Time, GMT-05:00","Wind Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Gust Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Wind Direction, ø (LGR S/N: 20702489, SEN S/N: 20496534)","MRT, °F (LGR S/N: 20702489, SEN S/N: 20693834)","Temp, °F (LGR S/N: 20702489, SEN S/N: 20698453)","RH, % (LGR S/N: 20702489, SEN S/N: 20698453)","Solar Radiation, W/m² (LGR S/N: 20702489, SEN S/N: 20702166)","DewPt, °F (LGR S/N: 20702489, SEN S/N: 20698453)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
1,01/01/20 12:00:00 AM,2.87,6.346666667,51.4,32.9065,33.1545,65.13333333,0.6,22.65,1
2,01/01/20 01:00:00 AM,2,4.978333333,52.8,32.492,32.69166667,67.45,0.6,23.13333333,1
3,01/01/20 02:00:00 AM,2.62,7.97,51.86666667,32.28383333,32.49183333,68.66666667,0.6,23.33333333,1
4,01/01/20 03:00:00 AM,2.246666667,5.47,46.71666667,32.1175,32.276,70.85,0.6,23.86666667,0.8
5,01/01/20 04:00:00 AM,2.246666667,7.596666667,216.35,31.48933333,31.41416667,73.8,0.6,24.03333333,1
6,01/01/20 05:00:00 AM,1.87,6.476666667,203.4166667,30.80033333,30.893,77.61666667,0.6,24.7,0.8
7,01/01/20 06:00:00 AM,2.243333333,6.473333333,86.56666667,31.38066667,31.69933333,73.61666667,0.6,24.23333333,1
8,01/01/20 07:00:00 AM,2.743333333,6.596666667,48.6,31.72516667,31.94233333,71.35,0.6,23.73333333,1
9,01/01/20 08:00:00 AM,2.496666667,6.47,48.35,31.717,31.89183333,71.9,3.75,23.83333333,1
10,01/01/20 09:00:00 AM,2.24,5.35,44.85,31.92533333,31.80866667,71.9,11.66666667,23.76666667,1
11,01/01/20 10:00:00 AM,2.373333333,6.846666667,47.18333333,33.16883333,32.4665,70.85,50.41666667,24.1,1
12,01/01/20 11:00:00 AM,3.49,8.593333333,50.7,35.045,33.9195,66.9,74.35,24.06666667,1
13,01/01/20 12:00:00 PM,3.246666667,8.843333333,49.98333333,35.11066667,33.68983333,66.93333333,72.93333333,23.9,1
14,01/01/20 01:00:00 PM,3.37,8.716666667,49.75,33.4425,33.01366667,73.13333333,30.61666667,25.33333333,1
15,01/01/20 02:00:00 PM,2.62,7.47,46.46666667,32.45033333,32.392,77.28333333,11.46666667,26.06666667,1
16,01/01/20 03:00:00 PM,3.12,8.093333333,52.33333333,32.72433333,32.8485,73.88333333,5.616666667,25.4,1
