Plot Title: 20094090
#,"Date Time, GMT-05:00","Solar Radiation, W/m² (LGR S/N: 20094090, SEN S/N: 20073988)","Temp, °C (LGR S/N: 20094090, SEN S/N: 20496044)","RH, % (LGR S/N: 20094090, SEN S/N: 20496044)","Wind Speed, m/s (LGR S/N: 20094090, SEN S/N: 20496535)","Gust Speed, m/s (LGR S/N: 20094090, SEN S/N: 20496535)","Wind Direction, ø (LGR S/N: 20094090, SEN S/N: 20496535)","Water Content, m³/m³ (LGR S/N: 20094090, SEN S/N: 20499689)","MRT, °C (LGR S/N: 20094090, SEN S/N: 20693833)","DewPt, °C (LGR S/N: 20094090, SEN S/N: 20496044)"
1,10/10/19 01:08:37 PM,578.1,16.77277778,51.1,1.34112,3.0085792,225.3,0.0547,22.56111111,6.611111111
2,10/10/19 01:18:37 PM,565.6,17.29611111,50.8,1.0013696,2.6688288,229.5,0.0547,23.76111111,7
3,10/10/19 01:28:37 PM,550.6,17.415,50.9,1.34112,3.0085792,239.3,0.0574,23.71277778,7.222222222
4,10/10/19 01:38:37 PM,536.9,18.08111111,51.6,1.0013696,2.3380192,254.8,0.057,24.94388889,8
5,10/10/19 01:48:37 PM,520.6,18.295,52.2,1.0013696,2.3380192,267.5,0.0596,25.355,8.277777778
6,10/10/19 01:58:37 PM,504.4,18.15222222,51.6,1.0013696,1.9982688,288.6,0.0588,24.75,8
7,10/10/19 02:08:37 PM,485.6,18.24722222,52.4,1.0013696,2.3380192,270.3,0.0596,24.17111111,8.388888889
8,10/10/19 02:18:37 PM,466.9,18.08111111,53,1.0013696,2.3380192,235.1,0.0599,24.14611111,8.388888889
9,10/10/19 02:28:37 PM,445.6,18.39,52.1,1.0013696,2.3380192,266.1,0.0599,24.55722222,8.388888889
10,10/10/19 02:38:37 PM,423.1,17.93777778,53.6,1.34112,3.3393888,275.9,0.0599,23.665,8.388888889
11,10/10/19 02:48:37 PM,400.6,18.03277778,53.2,1.34112,3.3393888,291.4,0.0607,23.47222222,8.388888889
12,10/10/19 02:58:37 PM,379.4,18.15222222,53.9,1.34112,2.3380192,287.2,0.0614,23.85722222,8.722222222
13,10/10/19 03:08:37 PM,354.4,17.93777778,53.7,1.34112,2.6688288,294.2,0.0614,23.35222222,8.388888889
