Plot Title: DL5,,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Wind Speed, m/s (LGR S/N: 20198500, SEN S/N: 21706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","Precipitation, Inches  (LGR S/N: 20034090, SEN S/N: 23073988)","DewPt, °C (LGR S/N: 20495520, SEN S/N: 10232331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20075520, SEN S/N: 10734331, LBL: Tamb)","Gust Speed, m/s (LGR S/N: 20054090, SEN S/N: 20896535)"
1,1/1/2019 0:00,5,96,3.639,156,0,0.06,4.2,1,6.093
2,1/1/2019 1:00,5.83,95,3.518,156,1.16,0,4.83,1,6.773
3,1/1/2019 2:00,6.72,95,2.418,155,1.16,0,5.72,1,4.318
4,1/1/2019 3:00,7.67,94,2.66,153,0,0,6.47,0.8,4.198
5,1/1/2019 4:00,8.67,93,1.699,161,0,0,7.27,1,3.818
6,1/1/2019 5:00,9.44,94,0.899,239,0,0,8.24,0.8,1.659
7,1/1/2019 6:00,10.17,77,2.736,286,0,0,5.57,1,7.676
8,1/1/2019 7:00,9.67,75,3.018,292,0,0,4.67,1,5.494
9,1/1/2019 8:00,6.61,80,3.679,293,0,0,2.61,1,6.996
10,1/1/2019 9:00,4.44,79,2.66,313,2.33,0,0.24,1,5.557
11,1/1/2019 10:00,3.33,82,2.66,319,22.1,0,-0.27,1,4.877
12,1/1/2019 11:00,2.94,87,3.04,309,30.24,0,0.34,1,5.056
13,1/1/2019 12:00,2.06,89,2.459,314,38.38,0,-0.14,1,4.318
14,1/1/2019 13:00,1.5,88,2.28,315,17.45,0,-0.9,1,4.175
15,1/1/2019 14:00,1.39,88,2.177,308,12.79,0,-1.01,1,4.055
16,1/1/2019 15:00,1.22,88,1.757,308,12.79,0,-1.18,1,3.277
17,1/1/2019 16:00,1.22,84,2.396,308,15.12,0,-1.98,1,4.734
18,1/1/2019 17:00,0.44,83,2.298,321,3.49,0,-2.96,1,4.318
19,1/1/2019 18:00,-0.28,84,1.918,324,0,0,-3.48,1,3.518
20,1/1/2019 19:00,-0.78,84,1.797,325,0,0,-3.98,1,3.098
21,1/1/2019 20:00,-1.44,84,1.958,320,0,0,-4.64,1,3.138
22,1/1/2019 21:00,-1.83,80,1.457,313,0,0,-5.83,1,2.7
23,1/1/2019 22:00,-2.22,80,1.578,292,0,0,-6.22,1,2.736
24,1/1/2019 23:00,-2.72,80,1.238,305,0,0,-6.72,1,2.338
25,1/2/2019 0:00,-2.83,80,1.18,316,0,0,-6.83,1,2.338
26,1/2/2019 1:00,-3.06,80,1.498,298,0,0,-7.06,1,2.638
27,1/2/2019 2:00,-3.28,79,1.498,310,0,0,-7.48,1,2.28
28,1/2/2019 3:00,-3.44,77,0.921,336,0,0,-8.04,1,1.779
29,1/2/2019 4:00,-3.56,79,0.979,331,0,0,-7.76,1,1.659
30,1/2/2019 5:00,-3.61,79,0.8,305,0,0,-7.81,1,1.56
31,1/2/2019 6:00,-3.56,80,0.76,316,0,0,-7.56,1,1.6
32,1/2/2019 7:00,-3.78,80,0.939,342,0,0,-7.78,1,1.659
33,1/2/2019 8:00,-3.78,81,0.559,299,1.16,0,-7.58,1,0.8
34,1/2/2019 9:00,-3.61,83,0.621,327,17.45,0,-7.01,1,1.059
35,1/2/2019 10:00,-3.33,81,0.38,225,58.15,0,-7.13,1,0.8
36,1/2/2019 11:00,-2.94,81,0.398,81,94.2,0,-6.74,1,0.8
37,1/2/2019 12:00,-2.5,80,0.738,163,110.49,0,-6.5,1,1.14
38,1/2/2019 13:00,-1.89,81,0.858,112,87.23,0,-5.69,1,1.52
39,1/2/2019 14:00,-1.11,78,1.001,122,105.83,0,-5.51,1,1.641
40,1/2/2019 15:00,-0.67,79,1.238,127,60.48,0,-4.87,1,1.98
41,1/2/2019 16:00,-0.61,79,1.1,119,17.45,0,-4.81,1,1.56
42,1/2/2019 17:00,-0.56,80,1.301,128,3.49,0,-4.56,1,2.159
43,1/2/2019 18:00,-0.28,79,2.056,138,0,0,-4.48,1,3.277
44,1/2/2019 19:00,0.06,80,1.958,137,0,0,-3.94,1,3.277
45,1/2/2019 20:00,0.5,84,2.798,149,0,0,-2.7,1,4.774
