Plot Title: DL5,,,,,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","Precipitation, Inches  (LGR S/N: 20034090, SEN S/N: 23073988)","DewPt, °C (LGR S/N: 20495520, SEN S/N: 10232331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20075520, SEN S/N: 10734331, LBL: Tamb)","Gust Speed, mph (LGR S/N: 20054090, SEN S/N: 20896535)",,,
1,01/01/19 12:00:00 AM,5,96,18.2,156,0,0.06,4.2,1,30.5,,,
2,01/01/19 01:00:00 AM,5.833333333,95,17.6,156,1.163,0,4.833333333,1,33.9,,,
3,01/01/19 02:00:00 AM,6.722222222,95,12.1,155,1.163,0,5.722222222,1,21.6,,,
4,01/01/19 03:00:00 AM,7.666666667,94,13.3,153,0,0,6.466666667,0.8,21,,,
5,01/01/19 04:00:00 AM,8.666666667,93,8.5,161,0,0,7.266666667,1,19.1,,,
6,01/01/19 05:00:00 AM,9.444444444,94,4.5,239,0,0,8.244444444,0.8,8.3,,,
7,01/01/19 06:00:00 AM,10.16666667,77,13.7,286,0,0,5.566666667,1,38.4,,,
8,01/01/19 07:00:00 AM,9.666666667,75,15.1,292,0,0,4.666666667,1,27.5,,,
9,01/01/19 08:00:00 AM,6.611111111,80,18.4,293,0,0,2.611111111,1,35,,,
10,01/01/19 09:00:00 AM,4.444444444,79,13.3,313,2.326,0,0.244444444,1,27.8,,,
11,01/01/19 10:00:00 AM,3.333333333,82,13.3,319,22.097,0,-0.266666667,1,24.4,,,
12,01/01/19 11:00:00 AM,2.944444444,87,15.2,309,30.238,0,0.344444444,1,25.3,,,
13,01/01/19 12:00:00 PM,2.055555556,89,12.3,314,38.379,0,-0.144444444,1,21.6,,,
14,01/01/19 01:00:00 PM,1.5,88,11.4,315,17.445,0,-0.9,1,20.9,,,
15,01/01/19 02:00:00 PM,1.388888889,88,10.9,308,12.793,0,-1.011111111,1,20.3,,,
16,01/01/19 03:00:00 PM,1.222222222,88,8.8,308,12.793,0,-1.177777778,1,16.4,,,
17,01/01/19 04:00:00 PM,1.222222222,84,12,308,15.119,0,-1.977777778,1,23.7,,,
18,01/01/19 05:00:00 PM,0.444444444,83,11.5,321,3.489,0,-2.955555556,1,21.6,,,
19,01/01/19 06:00:00 PM,-0.277777778,84,9.6,324,0,0,-3.477777778,1,17.6,,,
20,01/01/19 07:00:00 PM,-0.777777778,84,9,325,0,0,-3.977777778,1,15.5,,,
21,01/01/19 08:00:00 PM,-1.444444444,84,9.8,320,0,0,-4.644444444,1,15.7,,,
22,01/01/19 09:00:00 PM,-1.833333333,80,7.3,313,0,0,-5.833333333,1,13.5,,,
23,01/01/19 10:00:00 PM,-2.222222222,80,7.9,292,0,0,-6.222222222,1,13.7,,,
24,01/01/19 11:00:00 PM,-2.722222222,80,6.2,305,0,0,-6.722222222,1,11.7,,,
25,01/02/19 12:00:00 AM,-2.833333333,80,5.9,316,0,0,-6.833333333,1,11.7,,,
26,01/02/19 01:00:00 AM,-3.055555556,80,7.5,298,0,0,-7.055555556,1,13.2,,,
27,01/02/19 02:00:00 AM,-3.277777778,79,7.5,310,0,0,-7.477777778,1,11.4,,,
28,01/02/19 03:00:00 AM,-3.444444444,77,4.6,336,0,0,-8.044444444,1,8.9,,,
29,01/02/19 04:00:00 AM,-3.555555556,79,4.9,331,0,0,-7.755555556,1,8.3,,,
30,01/02/19 05:00:00 AM,-3.611111111,79,4,305,0,0,-7.811111111,1,7.8,,,
31,01/02/19 06:00:00 AM,-3.555555556,80,3.8,316,0,0,-7.555555556,1,8,,,
32,01/02/19 07:00:00 AM,-3.777777778,80,4.7,342,0,0,-7.777777778,1,8.3,,,
33,01/02/19 08:00:00 AM,-3.777777778,81,2.8,299,1.163,0,-7.577777778,1,4,,,
34,01/02/19 09:00:00 AM,-3.611111111,83,3.1,327,17.445,0,-7.011111111,1,5.3,,,
35,01/02/19 10:00:00 AM,-3.333333333,81,1.9,225,58.15,0,-7.133333333,1,4,,,
36,01/02/19 11:00:00 AM,-2.944444444,81,2,81,94.203,0,-6.744444444,1,4,,,
37,01/02/19 12:00:00 PM,-2.5,80,3.7,163,110.485,0,-6.5,1,5.7,,,
38,01/02/19 01:00:00 PM,-1.888888889,81,4.3,112,87.225,0,-5.688888889,1,7.6,,,
39,01/02/19 02:00:00 PM,-1.111111111,78,5,122,105.833,0,-5.511111111,1,8.2,,,
40,01/02/19 03:00:00 PM,-0.666666667,79,6.2,127,60.476,0,-4.866666667,1,9.9,,,
41,01/02/19 04:00:00 PM,-0.611111111,79,5.5,119,17.445,0,-4.811111111,1,7.8,,,
42,01/02/19 05:00:00 PM,-0.555555556,80,6.5,128,3.489,0,-4.555555556,1,10.8,,,
43,01/02/19 06:00:00 PM,-0.277777778,79,10.3,138,0,0,-4.477777778,1,16.4,,,
44,01/02/19 07:00:00 PM,0.055555556,80,9.8,137,0,0,-3.944444444,1,16.4,,,
45,01/02/19 08:00:00 PM,0.5,84,14,149,0,0,-2.7,1,23.9,,,
46,01/02/19 09:00:00 PM,0.444444444,89,10.4,158,0,0,-1.755555556,1,17.5,,,
47,01/02/19 10:00:00 PM,0.611111111,92,9.6,151,0,0,-0.988888889,1,15.5,,,
48,01/02/19 11:00:00 PM,0.722222222,93,8.1,149,0,0,-0.677777778,1,14.4,,,
49,01/03/19 12:00:00 AM,1.166666667,94,8.2,155,0,0,-0.033333333,1,13.2,,,
50,01/03/19 01:00:00 AM,1.388888889,95,9.3,163,0,0.01,0.388888889,1,13.9,,,
51,01/03/19 02:00:00 AM,1.722222222,94,7.8,173,0,0,0.522222222,1,14.2,,,
52,01/03/19 03:00:00 AM,1.833333333,96,3.9,202,0,0,1.033333333,1,8.2,,,
53,01/03/19 04:00:00 AM,1.833333333,95,4.6,174,0,0,0.833333333,1,9.8,,,
54,01/03/19 05:00:00 AM,1.944444444,92,6.3,219,0,0.02,0.344444444,1,19.2,,,
55,01/03/19 06:00:00 AM,1.555555556,87,8.1,280,0,0,-1.044444444,1,22.1,,,
56,01/03/19 07:00:00 AM,0.5,83,12.3,313,0,0,-2.9,1,21.4,,,
57,01/03/19 08:00:00 AM,0.055555556,82,9.8,304,0,0,-3.544444444,1,17.3,,,
58,01/03/19 09:00:00 AM,-0.055555556,71,10.2,299,10.467,0,-5.855555556,1,20.7,,,
59,01/03/19 10:00:00 AM,-0.277777778,75,11.7,305,25.586,0,-5.277777778,1,21,,,
60,01/03/19 11:00:00 AM,-0.5,77,9.1,298,41.868,0,-5.1,1,18.5,,,
61,01/03/19 12:00:00 PM,-0.555555556,79,5.9,297,47.683,0,-4.755555556,1,11.4,,,
62,01/03/19 01:00:00 PM,-0.5,80,4.6,300,43.031,0,-4.5,1,8.3,,,
63,01/03/19 02:00:00 PM,-0.388888889,81,2.4,315,29.075,0,-4.188888889,1,5.3,,,
64,01/03/19 03:00:00 PM,-0.222222222,81,1.6,19,18.608,0,-4.022222222,1,3.3,,,
65,01/03/19 04:00:00 PM,-0.166666667,82,1.8,129,17.445,0,-3.766666667,1,8.5,,,
66,01/03/19 05:00:00 PM,0,79,4.8,287,3.489,0,-4.2,1,10.1,,,
67,01/03/19 06:00:00 PM,0.055555556,80,4.4,288,0,0,-3.944444444,1,7.6,,,
68,01/03/19 07:00:00 PM,0,80,3.7,292,0,0,-4,1,7.4,,,
69,01/03/19 08:00:00 PM,0.055555556,81,2.6,222,0,0,-3.744444444,1,5.8,,,
70,01/03/19 09:00:00 PM,-0.055555556,77,3,205,0,0,-4.655555556,1,6,,,
71,01/03/19 10:00:00 PM,0.055555556,76,3.7,221,0,0,-4.744444444,1,7.8,,,
72,01/03/19 11:00:00 PM,0.055555556,76,6,227,0,0,-4.744444444,1,13.3,,,
73,01/04/19 12:00:00 AM,0.055555556,76,5.1,229,0,0,-4.744444444,1,9.8,,,
74,01/04/19 01:00:00 AM,-0.333333333,77,2.8,186,0,0,-4.933333333,0.2,6.2,,,
75,01/04/19 02:00:00 AM,-0.777777778,79,3.1,177,0,0,-4.977777778,0,6,,,
76,01/04/19 03:00:00 AM,-2.166666667,87,4.2,150,0,0,-4.766666667,0,5.8,,,
77,01/04/19 04:00:00 AM,-2.111111111,85,4.9,156,0,0,-5.111111111,0,8.2,,,
78,01/04/19 05:00:00 AM,-2.5,88,5.7,147,0,0,-4.9,0,8.2,,,
79,01/04/19 06:00:00 AM,-2.166666667,87,7.8,145,0,0,-4.766666667,0,10.8,,,
80,01/04/19 07:00:00 AM,-2.055555556,87,8.1,141,0,0,-4.655555556,0,11.4,,,
81,01/04/19 08:00:00 AM,-2.055555556,87,7.4,146,3.489,0,-4.655555556,0,11.6,,,
82,01/04/19 09:00:00 AM,-1.166666667,85,7.1,144,58.15,0,-4.166666667,0,10.3,,,
83,01/04/19 10:00:00 AM,0.666666667,72,6.3,154,147.701,0,-4.933333333,0,11.9,,,
84,01/04/19 11:00:00 AM,3.666666667,64,4.7,195,224.459,0,-3.533333333,0,9.4,,,
85,01/04/19 12:00:00 PM,5.277777778,69,8.4,145,259.349,0,-0.922222222,0,20.7,,,
