Plot Title: DL5
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Wind Speed, m/s (LGR S/N: 20198500, SEN S/N: 21706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","Precipitation, Inches  (LGR S/N: 20034090, SEN S/N: 23073988)","DewPt, °C (LGR S/N: 20495520, SEN S/N: 10232331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20075520, SEN S/N: 10734331, LBL: Tamb)","Gust Speed, m/s (LGR S/N: 20054090, SEN S/N: 20896535)"
1,01/01/19 12:00:00 AM,5.000,96.000,3.639,156.000,0.000,0.060,4.200,1.000,6.093
2,01/01/19 01:00:00 AM,5.830,95.000,3.518,156.000,1.160,0.000,4.830,1.000,6.773
3,01/01/19 02:00:00 AM,6.720,95.000,2.418,155.000,1.160,0.000,5.720,1.000,4.318
4,01/01/19 03:00:00 AM,7.670,94.000,2.660,153.000,0.000,0.000,6.470,0.800,4.198
5,01/01/19 04:00:00 AM,8.670,93.000,1.699,161.000,0.000,0.000,7.270,1.000,3.818
6,01/01/19 05:00:00 AM,9.440,94.000,0.899,239.000,0.000,0.000,8.240,0.800,1.659
7,01/01/19 06:00:00 AM,10.170,77.000,2.736,286.000,0.000,0.000,5.570,1.000,7.676
8,01/01/19 07:00:00 AM,9.670,75.000,3.018,292.000,0.000,0.000,4.670,1.000,5.494
9,01/01/19 08:00:00 AM,6.610,80.000,3.679,293.000,0.000,0.000,2.610,1.000,6.996
10,01/01/19 09:00:00 AM,4.440,79.000,2.660,313.000,2.330,0.000,0.240,1.000,5.557
11,01/01/19 10:00:00 AM,3.330,82.000,2.660,319.000,22.100,0.000,-0.270,1.000,4.877
12,01/01/19 11:00:00 AM,2.940,87.000,3.040,309.000,30.240,0.000,0.340,1.000,5.056
13,01/01/19 12:00:00 PM,2.060,89.000,2.459,314.000,38.380,0.000,-0.140,1.000,4.318
14,01/01/19 01:00:00 PM,1.500,88.000,2.280,315.000,17.450,0.000,-0.900,1.000,4.175
15,01/01/19 02:00:00 PM,1.390,88.000,2.177,308.000,12.790,0.000,-1.010,1.000,4.055
16,01/01/19 03:00:00 PM,1.220,88.000,1.757,308.000,12.790,0.000,-1.180,1.000,3.277
17,01/01/19 04:00:00 PM,1.220,84.000,2.396,308.000,15.120,0.000,-1.980,1.000,4.734
18,01/01/19 05:00:00 PM,0.440,83.000,2.298,321.000,3.490,0.000,-2.960,1.000,4.318
19,01/01/19 06:00:00 PM,-0.280,84.000,1.918,324.000,0.000,0.000,-3.480,1.000,3.518
20,01/01/19 07:00:00 PM,-0.780,84.000,1.797,325.000,0.000,0.000,-3.980,1.000,3.098
