"Plot Title: DL5"
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)"
1,05/27/19 12:00:00 AM,56.53,91.40,3.02,123.60,0.00
2,05/27/19 01:00:00 AM,54.37,93.70,3.32,116.70,0.00
3,05/27/19 02:00:00 AM,52.05,94.70,3.16,111.70,0.00
4,05/27/19 03:00:00 AM,49.89,96.20,3.50,121.40,0.00
5,05/27/19 04:00:00 AM,49.01,96.70,2.90,109.80,0.00
6,05/27/19 05:00:00 AM,47.77,97.30,3.28,95.80,0.00
7,05/27/19 06:00:00 AM,47.10,97.50,2.65,87.30,4.49
8,05/27/19 07:00:00 AM,48.24,97.10,2.46,98.20,71.81
9,05/27/19 08:00:00 AM,53.71,90.20,1.94,127.40,217.67
10,05/27/19 09:00:00 AM,57.88,78.44,3.70,279.90,359.04
11,05/27/19 10:00:00 AM,61.63,72.66,3.67,271.00,531.83
12,05/27/19 11:00:00 AM,65.25,68.87,4.69,275.50,673.20
13,05/27/19 12:00:00 PM,68.45,49.70,6.05,288.10,788.77
14,05/27/19 01:00:00 PM,70.05,53.19,8.81,291.60,869.55
15,05/27/19 02:00:00 PM,70.99,48.29,8.71,308.20,865.06
16,05/27/19 03:00:00 PM,71.96,48.64,9.15,304.30,808.96
17,05/27/19 04:00:00 PM,72.73,47.56,8.49,308.20,704.62
18,05/27/19 05:00:00 PM,72.97,50.08,8.02,289.70,553.15
19,05/27/19 06:00:00 PM,73.04,44.97,7.37,323.20,393.82
20,05/27/19 07:00:00 PM,72.18,48.91,7.43,354.00,223.28
21,05/27/19 08:00:00 PM,69.75,52.48,6.04,356.20,63.95
22,05/27/19 09:00:00 PM,66.33,68.87,4.04,340.60,2.24
23,05/27/19 10:00:00 PM,60.73,77.11,2.93,124.70,0.00
24,05/27/19 11:00:00 PM,57.99,85.30,3.07,110.70,0.00
25,05/28/19 12:00:00 AM,56.23,88.90,2.83,123.50,0.00
26,05/28/19 01:00:00 AM,54.48,89.80,3.40,135.90,0.00
27,05/28/19 02:00:00 AM,54.45,92.50,3.24,80.90,0.00
28,05/28/19 03:00:00 AM,54.63,91.60,2.91,78.12,0.00
29,05/28/19 04:00:00 AM,54.70,92.40,1.49,79.65,0.00
30,05/28/19 05:00:00 AM,54.68,90.40,5.03,57.71,0.00
31,05/28/19 06:00:00 AM,55.65,86.50,2.90,332.30,0.00
32,05/28/19 07:00:00 AM,58.10,81.80,7.36,150.90,7.85
33,05/28/19 08:00:00 AM,56.12,90.70,9.37,140.30,20.20
34,05/28/19 09:00:00 AM,55.24,94.50,11.55,134.90,41.51
35,05/28/19 10:00:00 AM,55.94,90.20,12.63,156.10,74.05
36,05/28/19 11:00:00 AM,56.32,93.50,11.98,162.90,87.52
37,05/28/19 12:00:00 PM,57.47,92.50,10.87,158.30,93.13
38,05/28/19 01:00:00 PM,62.33,86.80,9.63,161.80,477.97
39,05/28/19 02:00:00 PM,68.16,81.50,10.12,163.30,538.56
40,05/28/19 03:00:00 PM,72.95,74.28,6.54,179.20,464.51
41,05/28/19 04:00:00 PM,73.69,87.70,5.50,265.40,176.15
42,05/28/19 05:00:00 PM,72.57,84.70,5.79,301.20,343.33
43,05/28/19 06:00:00 PM,71.44,85.10,9.12,315.90,277.13
44,05/28/19 07:00:00 PM,68.02,85.30,9.64,331.40,144.74
45,05/28/19 08:00:00 PM,63.59,87.10,8.19,315.80,37.03
46,05/28/19 09:00:00 PM,60.24,88.70,7.02,299.30,2.24
47,05/28/19 10:00:00 PM,58.24,89.10,5.75,294.40,0.00
48,05/28/19 11:00:00 PM,56.52,91.70,5.63,286.60,0.00
49,05/29/19 12:00:00 AM,54.52,93.10,7.53,312.40,0.00
50,05/29/19 01:00:00 AM,52.70,94.30,5.77,312.50,0.00
51,05/29/19 02:00:00 AM,51.67,95.90,5.28,304.60,0.00
52,05/29/19 03:00:00 AM,50.76,97.30,5.33,300.40,0.00
53,05/29/19 04:00:00 AM,50.56,98.00,5.67,314.20,0.00
54,05/29/19 05:00:00 AM,50.41,98.30,4.92,318.20,0.00
55,05/29/19 06:00:00 AM,50.54,97.80,4.77,330.60,1.12
56,05/29/19 07:00:00 AM,50.59,96.80,3.96,337.20,13.46
57,05/29/19 08:00:00 AM,51.17,95.50,3.79,353.00,46.00
58,05/29/19 09:00:00 AM,51.62,94.00,3.84,109.20,100.98
59,05/29/19 10:00:00 AM,53.53,91.70,2.60,141.30,205.33
60,05/29/19 11:00:00 AM,56.19,86.30,2.50,99.90,339.97
61,05/29/19 12:00:00 PM,58.01,84.00,2.72,161.10,247.96
62,05/29/19 01:00:00 PM,59.25,83.00,1.89,217.70,111.08
63,05/29/19 02:00:00 PM,59.76,87.30,3.45,40.61,164.93
64,05/29/19 03:00:00 PM,60.71,85.60,3.65,342.20,215.42
65,05/29/19 04:00:00 PM,61.90,85.40,4.05,308.80,288.35
66,05/29/19 05:00:00 PM,63.97,86.50,5.77,276.90,262.55
67,05/29/19 06:00:00 PM,62.35,86.90,6.76,298.70,158.20
68,05/29/19 07:00:00 PM,61.27,84.40,4.42,330.60,105.47
69,05/29/19 08:00:00 PM,61.92,84.70,3.00,326.60,50.49
70,05/29/19 09:00:00 PM,61.20,86.90,3.61,308.00,4.49
71,05/29/19 10:00:00 PM,59.11,89.70,3.16,288.80,0.00
72,05/29/19 11:00:00 PM,57.31,92.20,1.81,25.12,0.00
73,05/30/19 12:00:00 AM,56.37,94.50,2.09,312.20,0.00
74,05/30/19 01:00:00 AM,56.75,95.50,1.00,156.10,0.00
75,05/30/19 02:00:00 AM,57.07,94.70,1.95,283.90,0.00
76,05/30/19 03:00:00 AM,56.71,95.90,3.90,322.00,0.00
77,05/30/19 04:00:00 AM,55.94,96.60,2.55,294.70,0.00
78,05/30/19 05:00:00 AM,56.05,96.60,2.14,278.40,0.00
79,05/30/19 06:00:00 AM,55.67,97.00,2.30,256.40,2.24
80,05/30/19 07:00:00 AM,55.51,96.90,2.76,129.20,44.88
81,05/30/19 08:00:00 AM,56.25,94.30,4.81,133.00,94.25
82,05/30/19 09:00:00 AM,58.42,84.90,4.61,152.70,240.11
83,05/30/19 10:00:00 AM,61.02,79.73,4.05,112.70,359.04
84,05/30/19 11:00:00 AM,62.31,78.95,3.41,69.15,218.79
85,05/30/19 12:00:00 PM,62.29,81.30,4.80,105.60,173.91
86,05/30/19 01:00:00 PM,63.28,81.60,5.63,105.40,241.23
87,05/30/19 02:00:00 PM,65.08,82.50,7.86,133.20,300.70
88,05/30/19 03:00:00 PM,67.19,84.90,7.11,144.70,246.84
89,05/30/19 04:00:00 PM,67.69,85.70,7.45,138.30,175.03
90,05/30/19 05:00:00 PM,68.86,83.70,6.22,162.90,157.08
91,05/30/19 06:00:00 PM,68.11,94.00,3.93,22.62,15.71
92,05/30/19 07:00:00 PM,65.26,96.30,3.65,202.20,26.93
93,05/30/19 08:00:00 PM,63.77,96.50,3.90,182.40,34.78
94,05/30/19 09:00:00 PM,63.10,97.00,3.93,159.30,2.24
95,05/30/19 10:00:00 PM,62.31,97.10,4.08,156.60,0.00
96,05/30/19 11:00:00 PM,61.86,97.10,3.43,140.20,0.00
97,05/31/19 12:00:00 AM,61.34,97.30,2.67,146.60,0.00
98,05/31/19 01:00:00 AM,60.75,97.70,2.36,89.90,0.00
99,05/31/19 02:00:00 AM,60.71,96.90,1.51,332.60,0.00
100,05/31/19 03:00:00 AM,58.59,96.40,2.41,146.90,0.00
101,05/31/19 04:00:00 AM,56.23,97.30,2.26,100.30,0.00
102,05/31/19 05:00:00 AM,55.18,97.90,2.12,108.80,0.00
103,05/31/19 06:00:00 AM,55.58,97.90,2.20,78.34,2.24
104,05/31/19 07:00:00 AM,55.80,98.20,1.48,113.80,30.29
105,05/31/19 08:00:00 AM,58.01,98.10,2.71,176.90,107.71
106,05/31/19 09:00:00 AM,60.33,91.30,3.93,285.60,307.43
107,05/31/19 10:00:00 AM,63.37,85.10,2.60,302.90,380.36
108,05/31/19 11:00:00 AM,65.03,78.80,3.34,294.00,458.90
109,05/31/19 12:00:00 PM,68.09,72.77,6.49,288.40,705.74
110,05/31/19 01:00:00 PM,69.60,67.19,9.25,319.40,718.08
111,05/31/19 02:00:00 PM,69.93,69.39,10.73,322.70,703.49
112,05/31/19 03:00:00 PM,70.45,60.53,10.20,319.20,705.74
113,05/31/19 04:00:00 PM,70.97,58.22,9.56,313.00,608.12
114,05/31/19 05:00:00 PM,70.92,53.17,8.67,319.70,475.73
115,05/31/19 06:00:00 PM,70.43,52.53,7.46,312.20,320.89
116,05/31/19 07:00:00 PM,69.35,55.77,6.08,313.80,177.28
117,05/31/19 08:00:00 PM,67.41,66.96,4.81,308.40,67.32
118,05/31/19 09:00:00 PM,63.37,83.20,2.82,71.63,3.37
119,05/31/19 10:00:00 PM,59.85,90.20,2.52,81.40,0.00
120,05/31/19 11:00:00 PM,56.17,92.70,3.21,135.50,0.00
121,06/01/19 12:00:00 AM,54.19,94.50,3.25,105.80,0.00
122,06/01/19 01:00:00 AM,52.50,95.00,3.33,111.10,0.00
123,06/01/19 02:00:00 AM,51.22,94.10,3.66,128.90,0.00
124,06/01/19 03:00:00 AM,51.40,90.40,4.11,159.80,0.00
125,06/01/19 04:00:00 AM,53.02,86.70,5.79,159.00,0.00
126,06/01/19 05:00:00 AM,55.11,85.30,6.99,158.90,0.00
127,06/01/19 06:00:00 AM,56.73,80.60,8.69,147.80,1.12
128,06/01/19 07:00:00 AM,58.33,79.21,6.60,154.60,22.44
129,06/01/19 08:00:00 AM,59.83,78.93,4.18,147.50,38.15
130,06/01/19 09:00:00 AM,65.01,68.04,4.71,183.50,213.18
131,06/01/19 10:00:00 AM,68.63,69.33,5.23,225.20,224.40
132,06/01/19 11:00:00 AM,67.69,74.61,6.07,223.50,177.28
133,06/01/19 12:00:00 PM,69.06,70.05,6.01,186.20,446.56
134,06/01/19 01:00:00 PM,72.03,66.09,5.71,167.50,602.51
135,06/01/19 02:00:00 PM,75.42,60.66,8.17,240.20,641.78
136,06/01/19 03:00:00 PM,77.32,65.93,7.79,246.70,578.95
137,06/01/19 04:00:00 PM,78.42,56.55,6.90,271.10,528.46
138,06/01/19 05:00:00 PM,78.31,59.05,7.80,260.10,315.28
139,06/01/19 06:00:00 PM,76.66,62.53,6.28,257.00,142.49
140,06/01/19 07:00:00 PM,75.38,65.37,4.25,237.80,70.69
141,06/01/19 08:00:00 PM,73.94,69.49,3.23,207.10,24.68
142,06/01/19 09:00:00 PM,72.34,74.82,3.81,190.70,0.00
143,06/01/19 10:00:00 PM,68.76,75.04,8.94,244.00,0.00
144,06/01/19 11:00:00 PM,65.41,82.00,7.12,160.50,0.00
145,06/02/19 12:00:00 AM,63.73,85.80,8.78,164.90,0.00
146,06/02/19 01:00:00 AM,61.90,87.50,5.11,162.20,0.00
147,06/02/19 02:00:00 AM,61.11,87.40,2.71,164.50,0.00
148,06/02/19 03:00:00 AM,60.60,83.70,3.67,234.00,0.00
149,06/02/19 04:00:00 AM,58.69,90.90,2.92,152.20,0.00
150,06/02/19 05:00:00 AM,56.05,94.30,4.66,156.00,0.00
151,06/02/19 06:00:00 AM,55.74,93.80,4.92,172.30,3.37
152,06/02/19 07:00:00 AM,56.84,93.40,2.88,163.30,43.76
153,06/02/19 08:00:00 AM,59.52,87.40,2.48,161.80,57.22
154,06/02/19 09:00:00 AM,60.49,94.00,3.76,162.30,47.12
155,06/02/19 10:00:00 AM,60.21,93.50,4.07,138.30,56.10
156,06/02/19 11:00:00 AM,60.51,90.70,5.66,154.30,95.37
157,06/02/19 12:00:00 PM,61.61,88.30,6.27,168.80,124.54
158,06/02/19 01:00:00 PM,63.88,79.60,4.50,201.30,231.13
159,06/02/19 02:00:00 PM,66.38,81.40,7.65,246.50,200.84
160,06/02/19 03:00:00 PM,60.08,91.20,10.77,320.20,108.83
161,06/02/19 04:00:00 PM,56.41,92.10,7.81,303.40,72.93
162,06/02/19 05:00:00 PM,55.29,91.90,4.77,322.70,158.20
163,06/02/19 06:00:00 PM,56.95,81.50,4.93,313.10,225.52
164,06/02/19 07:00:00 PM,58.30,80.50,3.27,292.80,149.23
165,06/02/19 08:00:00 PM,58.71,82.40,2.60,192.40,93.13
166,06/02/19 09:00:00 PM,56.48,92.70,3.69,159.50,5.61
167,06/02/19 10:00:00 PM,52.83,94.10,2.73,91.90,0.00
168,06/02/19 11:00:00 PM,49.46,96.90,4.16,140.80,0.00
169,06/03/19 12:00:00 AM,47.52,96.40,3.33,119.20,0.00
170,06/03/19 01:00:00 AM,45.77,96.90,3.93,136.60,0.00
171,06/03/19 02:00:00 AM,43.98,96.60,2.73,135.20,0.00
172,06/03/19 03:00:00 AM,43.85,91.90,3.71,295.40,0.00
173,06/03/19 04:00:00 AM,46.10,73.30,5.40,291.30,0.00
174,06/03/19 05:00:00 AM,45.77,77.90,3.27,285.00,0.00
175,06/03/19 06:00:00 AM,43.44,76.42,2.20,216.30,3.37
176,06/03/19 07:00:00 AM,44.86,69.80,5.56,242.30,76.30
177,06/03/19 08:00:00 AM,48.09,62.46,10.22,271.90,231.13
178,06/03/19 09:00:00 AM,49.84,61.71,11.54,284.60,379.24
179,06/03/19 10:00:00 AM,51.35,63.62,9.93,301.30,477.97
180,06/03/19 11:00:00 AM,52.21,63.88,10.88,302.70,388.21
181,06/03/19 12:00:00 PM,52.95,63.43,13.20,305.30,627.20
182,06/03/19 01:00:00 PM,54.34,58.04,12.31,307.00,734.91
183,06/03/19 02:00:00 PM,55.26,53.12,11.43,301.40,618.22
184,06/03/19 03:00:00 PM,57.40,49.44,11.95,304.80,799.99
185,06/03/19 04:00:00 PM,58.91,45.38,10.20,306.40,668.71
186,06/03/19 05:00:00 PM,59.58,43.88,10.98,310.80,498.17
187,06/03/19 06:00:00 PM,60.01,46.26,11.21,295.10,366.89
