station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2019-12-01 01:00:00 EST,-7.6,-8.1,-7.8,-7.4,-7.8,-7.6,90.4,87.7,88.7,0.00,1.3,3.2,99.9,1.4,3.2,105.1,0,969.00,968.31,968.73,0,0,0,1.8,1.7,1.8,3.4,3.4,3.4,4.7,4.7,4.7,0.39,0.39,0.39,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 02:00:00 EST,-8.0,-8.5,-8.2,-7.8,-8.2,-8.0,91.4,88.9,90.3,0.00,0.9,2.0,107.8,1.0,2.3,113.6,0,968.36,968.01,968.26,0,0,0,1.7,1.7,1.7,3.4,3.3,3.3,4.7,4.7,4.7,0.39,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 03:00:00 EST,-8.2,-8.6,-8.4,-8.1,-8.5,-8.3,92.4,89.6,91.1,0.00,1.5,3.0,114.5,1.6,2.9,120.3,0,967.81,967.14,967.39,0,0,0,1.7,1.7,1.7,3.3,3.3,3.3,4.7,4.6,4.6,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 04:00:00 EST,-8.3,-8.8,-8.5,-8.2,-8.6,-8.4,91.5,87.0,89.1,0.00,1.5,3.5,99.7,1.6,3.7,104.7,0,966.84,966.30,966.57,0,0,0,1.6,1.6,1.6,3.3,3.3,3.3,4.6,4.6,4.6,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 05:00:00 EST,-7.2,-8.6,-7.9,-7.4,-8.5,-7.9,88.9,80.3,84.5,0.00,2.2,3.6,102.4,2.3,3.8,107.5,0,966.14,965.35,965.62,0,0,0,1.6,1.6,1.6,3.3,3.2,3.3,4.6,4.6,4.6,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 06:00:00 EST,-6.7,-7.2,-7.0,-6.9,-7.4,-7.2,81.2,78.5,80.1,0.00,2.5,4.1,111.8,2.7,4.7,117.2,0,965.25,964.20,964.65,0,0,0,1.6,1.6,1.6,3.2,3.2,3.2,4.6,4.6,4.6,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 07:00:00 EST,-5.9,-6.7,-6.3,-6.0,-6.8,-6.4,79.2,72.8,76.4,0.00,3.1,4.8,112.0,3.2,5.2,117.6,0,964.27,963.31,963.71,0,0,0,1.6,1.6,1.6,3.2,3.2,3.2,4.6,4.6,4.6,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 08:00:00 EST,-5.1,-5.8,-5.5,-5.3,-6.0,-5.7,76.7,70.8,74.6,0.00,3.5,5.6,116.4,3.6,5.9,122.1,4,963.31,962.50,962.91,0,0,0,1.6,1.6,1.6,3.2,3.2,3.2,4.6,4.6,4.6,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 09:00:00 EST,-4.1,-5.0,-4.5,-4.2,-5.2,-4.7,70.7,63.5,66.6,0.21,3.6,7.6,119.4,3.8,7.7,124.4,17,962.84,962.54,962.67,0,0,0,1.6,1.6,1.6,3.2,3.1,3.1,4.6,4.5,4.5,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 10:00:00 EST,-3.7,-4.2,-3.9,-4.1,-4.5,-4.3,81.4,69.0,77.5,1.87,4.1,9.2,120.6,4.4,10.3,125.3,20,962.49,962.29,962.38,0,0,0,1.6,1.5,1.5,3.1,3.1,3.1,4.5,4.5,4.5,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 11:00:00 EST,-3.5,-3.8,-3.7,-3.8,-4.2,-4.0,87.7,81.7,84.7,1.84,4.5,9.9,119.3,5.1,11.3,123.2,20,962.79,961.03,962.06,0,0,0,1.5,1.5,1.5,3.1,3.1,3.1,4.5,4.5,4.5,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
GROT,2019-12-01 12:00:00 EST,-3.2,-3.6,-3.4,-3.5,-3.8,-3.7,89.2,85.1,87.1,1.22,4.3,8.7,114.4,5.2,12.0,118.4,22,960.79,958.08,959.83,0,0,0,1.5,1.4,1.5,3.1,3.1,3.1,4.5,4.5,4.5,0.38,0.38,0.38,0.30,0.30,0.30,0.19,0.19,0.19
