Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1162143,-,-,-,42.45,-76.5,-5,148,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (285-385nm),
2019,1,1,0,30,0,0,0,0,0,0,2,3.8000000000000003,160.09,0,0.12,1.6,2.4000000000000004,192,90.77,5.2,976,0.0000,0.0000,N/A
2019,1,1,1,30,0,0,0,0,0,0,3,4.6000000000000005,154.33,0,0.12,1.4000000000000001,1.9000000000000001,203,91.32000000000001,5.9,975,0.0000,0.0000,N/A
2019,1,1,2,30,0,0,0,0,0,0,2,5.7,144.98,0,0.12,1.4000000000000001,1.8,217,91.17,7,974,0.0000,0.0000,N/A
2019,1,1,3,30,0,0,0,0,0,0,4,7.1000000000000005,134.34,0,0.12,1.4000000000000001,1.7000000000000002,237,91.86,8.3,975,0.0000,0.0000,N/A
2019,1,1,4,30,0,0,0,0,0,0,0,7.9,123.31,0,0.12,1.6,1.6,255,94.23,8.8,976,0.0000,0.0000,N/A
2019,1,1,5,30,0,0,0,0,0,0,3,7.2,112.33,0,0.12,1.8,1.4000000000000001,269,94.88,8,978,0.0000,0.0000,N/A
2019,1,1,6,30,0,0,0,0,0,0,4,5.6000000000000005,101.7,0,0.12,1.9000000000000001,1.3,281,94.65,6.4,980,0.0000,0.0000,N/A
2019,1,1,7,30,2,12,2,2,12,2,4,3.5,91.71000000000001,14,0.12,1.9000000000000001,1.1,292,93.75,4.4,983,0.0000,0.0000,N/A
2019,1,1,8,30,42,61,50,42,428,97,4,1.3,82.57000000000001,100,0.12,1.7000000000000002,1.1,301,89.24,2.9000000000000004,986,0.0000,0.0000,N/A
2019,1,1,9,30,95,99,121,62,657,232,4,0.2,75.01,43,0.12,1.6,1,308,84.81,2.5,988,5.9164,4.5467,N/A
2019,1,1,10,30,115,5,117,75,752,341,4,-0.30000000000000004,69.31,0,0.12,1.5,1,312,81.7,2.5,989,6.0264,4.6707,N/A
2019,1,1,11,30,109,2,110,83,787,403,4,-0.7000000000000001,66.04,0,0.12,1.4000000000000001,1,312,79.54,2.5,989,5.8212,4.5270,N/A
2019,1,1,12,30,120,3,121,85,788,411,4,-0.9,65.58,0,0.12,1.3,0.9,311,78.12,2.5,990,6.4260,4.9993,N/A
2019,1,1,13,30,90,0,90,84,750,365,4,-1.2000000000000002,67.98,0,0.12,1.3,0.9,310,78.46000000000001,2.2,991,4.6889,3.6395,N/A
2019,1,1,14,30,44,0,44,73,672,270,4,-1.4000000000000001,72.96000000000001,0,0.12,1.2000000000000002,0.9,309,80.3,1.6,992,2.1920,1.6903,N/A
2019,1,1,15,30,34,0,34,54,501,141,4,-1.7000000000000002,80,100,0.12,1.1,0.9,311,83.58,0.8,993,1.6212,1.2355,N/A
2019,1,1,16,30,4,0,4,14,98,17,4,-2.1,88.37,57,0.12,1,0.9,313,86.38,-0.1,994,0.0000,0.0000,N/A
2019,1,1,17,30,0,0,0,0,0,0,4,-2.6,98.43,0,0.12,0.9,0.8,317,87.57000000000001,-0.8,995,0.0000,0.0000,N/A
2019,1,1,18,30,0,0,0,0,0,0,4,-3.1,108.89,0,0.12,0.9,0.8,319,86.05,-1.1,996,0.0000,0.0000,N/A
2019,1,1,19,30,0,0,0,0,0,0,4,-3.7,119.78,0,0.12,0.7000000000000001,0.7000000000000001,319,88.14,-2,996,0.0000,0.0000,N/A
2019,1,1,20,30,0,0,0,0,0,0,4,-4.1000000000000005,130.82,0,0.12,0.7000000000000001,0.7000000000000001,320,88.23,-2.4000000000000004,996,0.0000,0.0000,N/A
2019,1,1,21,30,0,0,0,0,0,0,4,-4.6000000000000005,141.65,0,0.12,0.7000000000000001,0.7000000000000001,324,86.33,-2.6,996,0.0000,0.0000,N/A
2019,1,1,22,30,0,0,0,0,0,0,0,-5.2,151.56,0,0.12,0.7000000000000001,0.7000000000000001,327,83.71000000000001,-2.8000000000000003,996,0.0000,0.0000,N/A
2019,1,1,23,30,0,0,0,0,0,0,4,-5.9,158.8,0,0.12,0.7000000000000001,0.7000000000000001,327,80.52,-3,996,0.0000,0.0000,N/A
2019,1,2,0,30,0,0,0,0,0,0,4,-6.4,160.03,0,0.12,0.6000000000000001,0.7000000000000001,325,78.55,-3.2,997,0.0000,0.0000,N/A
2019,1,2,1,30,0,0,0,0,0,0,4,-6.7,154.33,0,0.12,0.6000000000000001,0.7000000000000001,324,77.82000000000001,-3.4000000000000004,998,0.0000,0.0000,N/A
2019,1,2,2,30,0,0,0,0,0,0,4,-7,145.01,0,0.12,0.6000000000000001,0.7000000000000001,324,76.98,-3.5,998,0.0000,0.0000,N/A
2019,1,2,3,30,0,0,0,0,0,0,4,-7.2,134.37,0,0.12,0.6000000000000001,0.8,327,75.57000000000001,-3.5,998,0.0000,0.0000,N/A
2019,1,2,4,30,0,0,0,0,0,0,4,-7.4,123.34,0,0.12,0.6000000000000001,0.8,335,75.71000000000001,-3.7,999,0.0000,0.0000,N/A
2019,1,2,5,30,0,0,0,0,0,0,4,-7.4,112.36,0,0.12,0.5,0.7000000000000001,347,76.41,-3.9000000000000004,999,0.0000,0.0000,N/A
2019,1,2,6,30,0,0,0,0,0,0,4,-7.5,101.73,0,0.12,0.5,0.7000000000000001,179,77.85000000000001,-4.2,1000,0.0000,0.0000,N/A
2019,1,2,7,30,3,28,2,3,28,2,4,-7.5,91.72,14,0.12,0.4,0.6000000000000001,11,76.57000000000001,-4,1001,0.0000,0.0000,N/A
2019,1,2,8,30,42,3,42,35,552,106,4,-8,82.57000000000001,100,0.12,0.4,0.6000000000000001,20,67.74,-2.9000000000000004,1001,0.0000,0.0000,N/A
2019,1,2,9,30,93,31,101,49,753,244,4,-8.4,74.99,43,0.12,0.2,0.7000000000000001,41,58.42,-1.3,1000,4.9393,3.7960,N/A
2019,1,2,10,30,142,49,159,58,838,355,7,-8.8,69.27,0,0.12,0.2,0.7000000000000001,112,50.92,0.2,1000,8.1926,6.3499,N/A
2019,1,2,11,30,129,3,130,63,866,416,4,-9,65.97,0,0.12,0.2,0.8,175,46.1,1.3,999,6.8833,5.3533,N/A
2019,1,2,12,30,146,10,150,67,860,424,7,-8.200000000000001,65.48,0,0.12,0.30000000000000004,0.8,185,47.52,1.8,998,7.9721,6.2028,N/A
2019,1,2,13,30,138,16,144,67,814,374,4,-6.6000000000000005,67.87,0,0.12,0.4,0.9,180,53.620000000000005,1.8,997,7.5091,5.8293,N/A
2019,1,2,14,30,104,18,109,64,719,276,7,-4.9,72.83,0,0.12,0.4,1,167,63.15,1.3,996,5.4367,4.1934,N/A
2019,1,2,15,30,57,26,62,51,529,144,8,-3.1,79.86,100,0.12,0.4,1,155,77.43,0.4,995,2.9557,2.2527,N/A
2019,1,2,16,30,10,15,10,16,122,20,7,-2.5,88.24,71,0.12,0.5,1,152,84.63,-0.2,994,0.0000,0.0000,N/A
2019,1,2,17,30,0,0,0,0,0,0,7,-2.4000000000000004,98.29,0,0.12,0.6000000000000001,1,154,85.06,-0.2,993,0.0000,0.0000,N/A
2019,1,2,18,30,0,0,0,0,0,0,6,-2.1,108.75,0,0.12,0.6000000000000001,1,155,86.69,-0.1,993,0.0000,0.0000,N/A
2019,1,2,19,30,0,0,0,0,0,0,7,-1.7000000000000002,119.64,0,0.12,0.9,1.1,168,86.11,0.4,992,0.0000,0.0000,N/A
2019,1,2,20,30,0,0,0,0,0,0,7,-1.1,130.68,0,0.12,1.1,1.1,175,86.5,0.9,990,0.0000,0.0000,N/A
2019,1,2,21,30,0,0,0,0,0,0,7,-0.5,141.51,0,0.12,1.1,1.2000000000000002,176,88.84,1.1,989,0.0000,0.0000,N/A
2019,1,2,22,30,0,0,0,0,0,0,7,-0.30000000000000004,151.42000000000002,0,0.12,1,1.2000000000000002,177,90.03,1.2000000000000002,988,0.0000,0.0000,N/A
2019,1,2,23,30,0,0,0,0,0,0,6,-0.1,158.68,0,0.12,1.1,1.2000000000000002,184,90.28,1.3,987,0.0000,0.0000,N/A
2019,1,3,0,30,0,0,0,0,0,0,6,0.1,159.96,0,0.12,1.1,1.2000000000000002,193,90.63,1.5,987,0.0000,0.0000,N/A
2019,1,3,1,30,0,0,0,0,0,0,7,0.4,154.31,0,0.12,1.1,1.1,199,91.44,1.6,986,0.0000,0.0000,N/A
2019,1,3,2,30,0,0,0,0,0,0,7,0.5,145.02,0,0.12,1,1.1,211,91.85000000000001,1.7000000000000002,985,0.0000,0.0000,N/A
2019,1,3,3,30,0,0,0,0,0,0,4,0.7000000000000001,134.4,0,0.12,1.1,1,234,92.34,1.8,985,0.0000,0.0000,N/A
2019,1,3,4,30,0,0,0,0,0,0,4,0.6000000000000001,123.37,0,0.12,1.2000000000000002,0.8,261,93.69,1.5,986,0.0000,0.0000,N/A
2019,1,3,5,30,0,0,0,0,0,0,4,-0.30000000000000004,112.39,0,0.12,1.2000000000000002,0.7000000000000001,280,92.06,0.8,987,0.0000,0.0000,N/A
2019,1,3,6,30,0,0,0,0,0,0,4,-1.7000000000000002,101.75,0,0.12,1.1,0.6000000000000001,286,88.54,0,988,0.0000,0.0000,N/A
2019,1,3,7,30,2,14,2,2,14,2,4,-2.5,91.73,14,0.12,1.1,0.6000000000000001,291,85.17,-0.30000000000000004,988,0.0000,0.0000,N/A
2019,1,3,8,30,16,0,16,45,459,104,4,-2.7,82.56,100,0.12,1.1,0.5,295,82.17,0,989,0.0000,0.0000,N/A
2019,1,3,9,30,37,0,37,68,694,248,4,-2.9000000000000004,74.96000000000001,43,0.12,1.1,0.6000000000000001,297,78.03,0.5,989,1.8099,1.3910,N/A
2019,1,3,10,30,61,0,61,79,804,364,4,-3.3000000000000003,69.21000000000001,0,0.12,1.1,0.6000000000000001,295,72.35000000000001,1.1,989,3.1447,2.4376,N/A
2019,1,3,11,30,67,0,67,82,849,429,4,-3.6,65.89,0,0.12,1.1,0.6000000000000001,290,68.66,1.5,988,3.5498,2.7609,N/A
2019,1,3,12,30,55,0,55,82,856,439,4,-3.7,65.38,0,0.12,1,0.7000000000000001,286,67.61,1.7000000000000002,988,2.9253,2.2763,N/A
2019,1,3,13,30,53,0,53,79,823,391,4,-3.4000000000000004,67.75,0,0.12,0.9,0.7000000000000001,285,68.66,1.7000000000000002,988,2.7665,2.1479,N/A
2019,1,3,14,30,34,0,34,68,749,291,4,-3,72.7,0,0.12,0.7000000000000001,0.8,284,72.3,1.4000000000000001,988,1.6979,1.3099,N/A
2019,1,3,15,30,20,0,20,51,591,156,4,-2.4000000000000004,79.72,100,0.12,0.5,0.8,281,81.2,0.5,989,0.9533,0.7267,N/A
2019,1,3,16,30,4,20,5,17,174,23,4,-2.2,88.11,71,0.12,0.4,0.8,279,88.69,-0.6000000000000001,989,0.0000,0.0000,N/A
2019,1,3,17,30,0,0,0,0,0,0,4,-2.7,98.15,0,0.12,0.4,0.8,279,88.55,-1,989,0.0000,0.0000,N/A
2019,1,3,18,30,0,0,0,0,0,0,4,-2.8000000000000003,108.60000000000001,0,0.12,0.4,0.8,279,88.37,-1.1,989,0.0000,0.0000,N/A
2019,1,3,19,30,0,0,0,0,0,0,8,-2.8000000000000003,119.49000000000001,0,0.12,0.5,0.9,260,88.58,-1.2000000000000002,989,0.0000,0.0000,N/A
2019,1,3,20,30,0,0,0,0,0,0,4,-2.9000000000000004,130.54,0,0.12,0.6000000000000001,1,246,88.78,-1.3,989,0.0000,0.0000,N/A
2019,1,3,21,30,0,0,0,0,0,0,4,-2.9000000000000004,141.37,0,0.12,0.6000000000000001,1,236,90.7,-1.6,989,0.0000,0.0000,N/A
2019,1,3,22,30,0,0,0,0,0,0,4,-3,151.27,0,0.12,0.6000000000000001,1.1,230,91.3,-1.8,988,0.0000,0.0000,N/A
2019,1,3,23,30,0,0,0,0,0,0,4,-3.1,158.55,0,0.12,0.5,1.1,225,91.76,-1.9000000000000001,988,0.0000,0.0000,N/A
2019,1,4,0,30,0,0,0,0,0,0,0,-3.1,159.88,0,0.12,0.5,1.1,217,92.71000000000001,-2.1,988,0.0000,0.0000,N/A
2019,1,4,1,30,0,0,0,0,0,0,0,-3.2,154.29,0,0.12,0.6000000000000001,1.1,209,91.96000000000001,-2.1,988,0.0000,0.0000,N/A
2019,1,4,2,30,0,0,0,0,0,0,0,-3.2,145.03,0,0.12,0.7000000000000001,1.1,203,91.3,-2,988,0.0000,0.0000,N/A
2019,1,4,3,30,0,0,0,0,0,0,0,-3.3000000000000003,134.42000000000002,0,0.12,0.7000000000000001,1.1,197,91.62,-2.1,988,0.0000,0.0000,N/A
2019,1,4,4,30,0,0,0,0,0,0,0,-3.4000000000000004,123.4,0,0.12,0.7000000000000001,1.1,192,91.71000000000001,-2.2,987,0.0000,0.0000,N/A
2019,1,4,5,30,0,0,0,0,0,0,0,-3.4000000000000004,112.41,0,0.12,0.7000000000000001,1.1,188,91.45,-2.2,987,0.0000,0.0000,N/A
2019,1,4,6,30,0,0,0,0,0,0,0,-3.4000000000000004,101.76,0,0.12,0.8,1.1,187,90.56,-2.1,986,0.0000,0.0000,N/A
2019,1,4,7,30,3,28,2,3,28,2,7,-3.4000000000000004,91.73,14,0.12,0.8,1.1,192,86.83,-1.5,986,0.0000,0.0000,N/A
2019,1,4,8,30,46,168,68,35,544,106,4,-2.8000000000000003,82.54,100,0.12,0.9,1.1,200,81.15,0,987,0.0000,0.0000,N/A
2019,1,4,9,30,89,322,173,51,748,246,7,-1.7000000000000002,74.92,43,0.12,0.9,1.1,206,76.28,2,987,8.4656,6.5068,N/A
2019,1,4,10,30,125,371,257,59,841,358,7,-0.6000000000000001,69.15,0,0.12,1,1.1,212,72.57000000000001,3.9000000000000004,986,13.2561,10.2760,N/A
2019,1,4,11,30,142,416,313,62,879,422,7,0.5,65.8,0,0.12,0.9,1.2000000000000002,217,71.84,5.2,985,16.5947,12.9080,N/A
2019,1,4,12,30,135,480,336,62,886,433,7,1.5,65.27,14,0.12,0.9,1.2000000000000002,215,72.89,6,984,17.8858,13.9186,N/A
2019,1,4,13,30,109,537,313,59,861,387,7,2.4000000000000004,67.62,0,0.12,0.7000000000000001,1.2000000000000002,208,77.31,6.1000000000000005,984,16.3559,12.7002,N/A
2019,1,4,14,30,90,465,229,53,795,291,7,3,72.56,0,0.12,0.6000000000000001,1.2000000000000002,198,86.31,5.1000000000000005,984,11.4508,8.8358,N/A
2019,1,4,15,30,65,212,103,40,650,158,4,2.6,79.58,100,0.12,0.5,1.2000000000000002,190,96.88,3,983,4.9093,3.7430,N/A
